pageid,title,wikidata,label
393860,Tupou VI,Q208497,Tupou VI of Tonga
16762296,Fekitamoeloa ʻUtoikamanu,Q5441615,Fekitamoeloa 'Utoikamanu
23208057,Sione Ngongo Kioa,Q7525389,Sione Ngongo Kioa
26445785,Samiu Vaipulu,Q3470867,Samiu Vaipulu
26445857,Viliami Tangi,Q7930216,Viliami Tangi
30389975,Viliami Latu,Q7930213,Viliami Latu
30987508,Tonga Tuʻiʻafitu,Q16194844,Lord Tonga Tuʻiʻafitu
64273005,Saia Piukala,Q96278954,Saia Piukala
64326249,Siaosi Sovaleni,Q19631293,Hu'akavameiliku
64335636,Poasi Tei,Q96479418,Poasi Tei
64337890,Semisi Fakahau,Q96482295,Semisi Fakahau
69574742,Sevenitini Toumoʻua,Q110243150,Sevenitini Toumoʻua
69709645,Sione Siale Fohe,Q31827675,Sione Siale Fohe
70934963,Tupou Tongapoʻuli Aleamotuʻa,Q25701935,Tupou Tongapoʻuli Aleamotuʻa
